date,group,model_signal,independent_evidence,conflict_type,severity,explanation
2020-01-07,external_environmental,Positive SHAP (+53.76 ug/m3),Heavy Rainfall (20.0 mm),RAINFALL_POSITIVE_SHAP_CONFLICT,MODERATE,"Model predicted positive contribution during heavy rainfall event, contradicting aerosol washout physics."
2020-01-30,external_environmental,Positive SHAP (+145.19 ug/m3),Heavy Rainfall (20.4 mm),RAINFALL_POSITIVE_SHAP_CONFLICT,MODERATE,"Model predicted positive contribution during heavy rainfall event, contradicting aerosol washout physics."
2020-02-02,external_environmental,Positive SHAP (+16.30 ug/m3),Heavy Rainfall (18.9 mm),RAINFALL_POSITIVE_SHAP_CONFLICT,MODERATE,"Model predicted positive contribution during heavy rainfall event, contradicting aerosol washout physics."
2020-02-07,external_environmental,Positive SHAP (+3.52 ug/m3),Heavy Rainfall (60.6 mm),RAINFALL_POSITIVE_SHAP_CONFLICT,MODERATE,"Model predicted positive contribution during heavy rainfall event, contradicting aerosol washout physics."
2020-10-17,external_environmental,Positive SHAP (+27.31 ug/m3),Heavy Rainfall (13.8 mm),RAINFALL_POSITIVE_SHAP_CONFLICT,MODERATE,"Model predicted positive contribution during heavy rainfall event, contradicting aerosol washout physics."
2020-11-08,external_environmental,Positive SHAP (+55.36 ug/m3),Heavy Rainfall (28.3 mm),RAINFALL_POSITIVE_SHAP_CONFLICT,MODERATE,"Model predicted positive contribution during heavy rainfall event, contradicting aerosol washout physics."
2020-11-28,external_environmental,Positive SHAP (+64.13 ug/m3),Heavy Rainfall (20.0 mm),RAINFALL_POSITIVE_SHAP_CONFLICT,MODERATE,"Model predicted positive contribution during heavy rainfall event, contradicting aerosol washout physics."
2020-11-30,external_environmental,Positive SHAP (+82.44 ug/m3),Heavy Rainfall (14.1 mm),RAINFALL_POSITIVE_SHAP_CONFLICT,MODERATE,"Model predicted positive contribution during heavy rainfall event, contradicting aerosol washout physics."
2020-12-05,external_environmental,Positive SHAP (+33.11 ug/m3),Heavy Rainfall (14.6 mm),RAINFALL_POSITIVE_SHAP_CONFLICT,MODERATE,"Model predicted positive contribution during heavy rainfall event, contradicting aerosol washout physics."
2021-01-05,external_environmental,Positive SHAP (+26.06 ug/m3),Heavy Rainfall (29.0 mm),RAINFALL_POSITIVE_SHAP_CONFLICT,MODERATE,"Model predicted positive contribution during heavy rainfall event, contradicting aerosol washout physics."
2021-01-06,external_environmental,Positive SHAP (+150.04 ug/m3),Heavy Rainfall (11.5 mm),RAINFALL_POSITIVE_SHAP_CONFLICT,MODERATE,"Model predicted positive contribution during heavy rainfall event, contradicting aerosol washout physics."
2021-01-12,external_environmental,Positive SHAP (+26.99 ug/m3),Heavy Rainfall (19.5 mm),RAINFALL_POSITIVE_SHAP_CONFLICT,MODERATE,"Model predicted positive contribution during heavy rainfall event, contradicting aerosol washout physics."
2021-01-15,external_environmental,Positive SHAP (+147.26 ug/m3),Heavy Rainfall (28.3 mm),RAINFALL_POSITIVE_SHAP_CONFLICT,MODERATE,"Model predicted positive contribution during heavy rainfall event, contradicting aerosol washout physics."
2021-02-04,external_environmental,Positive SHAP (+26.20 ug/m3),Heavy Rainfall (13.2 mm),RAINFALL_POSITIVE_SHAP_CONFLICT,MODERATE,"Model predicted positive contribution during heavy rainfall event, contradicting aerosol washout physics."
2021-02-11,external_environmental,Positive SHAP (+47.19 ug/m3),Heavy Rainfall (16.0 mm),RAINFALL_POSITIVE_SHAP_CONFLICT,MODERATE,"Model predicted positive contribution during heavy rainfall event, contradicting aerosol washout physics."
2021-02-13,external_environmental,Positive SHAP (+49.61 ug/m3),Heavy Rainfall (32.3 mm),RAINFALL_POSITIVE_SHAP_CONFLICT,MODERATE,"Model predicted positive contribution during heavy rainfall event, contradicting aerosol washout physics."
