feature_name,category,source,unit,description,temporal_resolution,spatial_resolution,availability_lag,aggregation_method,leakage_safe,derived_from,license,provenance
rainfall_1d,precipitation,IMD/ERA5,mm/day,Daily surface rainfall total,1d,0.25° grid,t-1d,Daily Sum,True,precipitation_amount_mm,Open Data License,Phase 4G Ingestion Pipeline
rainfall_3d,precipitation,IMD/ERA5,mm,3-day cumulative rainfall total,3d,0.25° grid,t-1d,3-day Rolling Sum,True,rainfall_1d,Open Data License,Phase 4G Ingestion Pipeline
rainfall_7d,precipitation,IMD/ERA5,mm,7-day cumulative rainfall total,7d,0.25° grid,t-1d,7-day Rolling Sum,True,rainfall_1d,Open Data License,Phase 4G Ingestion Pipeline
rain_event_1d,precipitation,IMD/ERA5,binary (0/1),Rainfall event occurrence flag (>=1.0mm),1d,0.25° grid,t-1d,Threshold Indicator,True,rainfall_1d,Open Data License,Phase 4G Ingestion Pipeline
washout_index_3d,precipitation,IMD/ERA5,index,Non-linear rain washout potential log(1+rainfall_3d),3d,0.25° grid,t-1d,Log Transformation,True,rainfall_3d,Open Data License,Phase 4G Ingestion Pipeline
pblh_1d,pbl_height,ERA5,meters,Daily mean Planetary Boundary Layer Height,1d,0.25° grid,t-1d,Daily Mean,True,pbl_height_mean_m,Open Data License,Phase 4G Ingestion Pipeline
pblh_min_1d,pbl_height,ERA5,meters,Daily minimum Planetary Boundary Layer Height,1d,0.25° grid,t-1d,Daily Minimum,True,pbl_height_min_m,Open Data License,Phase 4G Ingestion Pipeline
pblh_roll_mean_3d,pbl_height,ERA5,meters,3-day rolling mean Planetary Boundary Layer Height,3d,0.25° grid,t-1d,3-day Rolling Mean,True,pblh_1d,Open Data License,Phase 4G Ingestion Pipeline
ventilation_index_1d,pbl_height,ERA5/CPCB,m2/s,Atmospheric ventilation index (PBLH * wind_speed),1d,Delhi NCR Regional,t-1d,Product Interaction,True,"pblh_1d, wind_speed",Open Data License,Phase 4G Ingestion Pipeline
aod_550_1d,aerosol,NASA MODIS,unitless,Regional mean 550nm Aerosol Optical Depth,1d,1.0° grid,t-1d,Spatial Mean,True,aod_550_mean,Open Data License,Phase 4G Ingestion Pipeline
aod_roll_mean_3d,aerosol,NASA MODIS,unitless,3-day rolling mean Aerosol Optical Depth,3d,1.0° grid,t-1d,3-day Rolling Mean,True,aod_550_1d,Open Data License,Phase 4G Ingestion Pipeline
wind_u_component_1d,transport_winds,ERA5,m/s,East-West u-component transport wind,1d,0.25° grid,t-1d,Vector Component,True,"wind_speed, wind_dir",Open Data License,Phase 4G Ingestion Pipeline
wind_v_component_1d,transport_winds,ERA5,m/s,North-South v-component transport wind,1d,0.25° grid,t-1d,Vector Component,True,"wind_speed, wind_dir",Open Data License,Phase 4G Ingestion Pipeline
upwind_stubble_quadrant_1d,transport_winds,ERA5/IMD,km/h,NW upwind stubble transport quadrant index,1d,Delhi NCR Regional,t-1d,Quadrant Filter,True,"wind_speed, wind_dir",Open Data License,Phase 4G Ingestion Pipeline
