feature_name,attribution_group,mapping_reason,confidence,source_registry
pm25_lag_14d,pm25_persistence,Historical PM2.5 persistence and short-term rolling trajectory,high,phase3g_production_feature_list
pm25_lag_1d,pm25_persistence,Historical PM2.5 persistence and short-term rolling trajectory,high,phase3g_production_feature_list
pm25_lag_2d,pm25_persistence,Historical PM2.5 persistence and short-term rolling trajectory,high,phase3g_production_feature_list
pm25_lag_3d,pm25_persistence,Historical PM2.5 persistence and short-term rolling trajectory,high,phase3g_production_feature_list
pm25_lag_7d,pm25_persistence,Historical PM2.5 persistence and short-term rolling trajectory,high,phase3g_production_feature_list
pm25_roll_max_14d,pm25_persistence,Historical PM2.5 persistence and short-term rolling trajectory,high,phase3g_production_feature_list
pm25_roll_max_30d,pm25_persistence,Historical PM2.5 persistence and short-term rolling trajectory,high,phase3g_production_feature_list
pm25_roll_max_3d,pm25_persistence,Historical PM2.5 persistence and short-term rolling trajectory,high,phase3g_production_feature_list
pm25_roll_max_7d,pm25_persistence,Historical PM2.5 persistence and short-term rolling trajectory,high,phase3g_production_feature_list
pm25_roll_mean_14d,pm25_persistence,Historical PM2.5 persistence and short-term rolling trajectory,high,phase3g_production_feature_list
pm25_roll_mean_30d,pm25_persistence,Historical PM2.5 persistence and short-term rolling trajectory,high,phase3g_production_feature_list
pm25_roll_mean_3d,pm25_persistence,Historical PM2.5 persistence and short-term rolling trajectory,high,phase3g_production_feature_list
pm25_roll_mean_7d,pm25_persistence,Historical PM2.5 persistence and short-term rolling trajectory,high,phase3g_production_feature_list
pm25_roll_median_14d,pm25_persistence,Historical PM2.5 persistence and short-term rolling trajectory,high,phase3g_production_feature_list
pm25_roll_median_30d,pm25_persistence,Historical PM2.5 persistence and short-term rolling trajectory,high,phase3g_production_feature_list
pm25_roll_median_3d,pm25_persistence,Historical PM2.5 persistence and short-term rolling trajectory,high,phase3g_production_feature_list
pm25_roll_median_7d,pm25_persistence,Historical PM2.5 persistence and short-term rolling trajectory,high,phase3g_production_feature_list
pm25_roll_min_14d,pm25_persistence,Historical PM2.5 persistence and short-term rolling trajectory,high,phase3g_production_feature_list
pm25_roll_min_30d,pm25_persistence,Historical PM2.5 persistence and short-term rolling trajectory,high,phase3g_production_feature_list
pm25_roll_min_3d,pm25_persistence,Historical PM2.5 persistence and short-term rolling trajectory,high,phase3g_production_feature_list
pm25_roll_min_7d,pm25_persistence,Historical PM2.5 persistence and short-term rolling trajectory,high,phase3g_production_feature_list
pm25_roll_std_14d,pm25_persistence,Historical PM2.5 persistence and short-term rolling trajectory,high,phase3g_production_feature_list
pm25_roll_std_30d,pm25_persistence,Historical PM2.5 persistence and short-term rolling trajectory,high,phase3g_production_feature_list
pm25_roll_std_3d,pm25_persistence,Historical PM2.5 persistence and short-term rolling trajectory,high,phase3g_production_feature_list
pm25_roll_std_7d,pm25_persistence,Historical PM2.5 persistence and short-term rolling trajectory,high,phase3g_production_feature_list
pm25_roll_var_14d,pm25_persistence,Historical PM2.5 persistence and short-term rolling trajectory,high,phase3g_production_feature_list
pm25_roll_var_30d,pm25_persistence,Historical PM2.5 persistence and short-term rolling trajectory,high,phase3g_production_feature_list
pm25_roll_var_3d,pm25_persistence,Historical PM2.5 persistence and short-term rolling trajectory,high,phase3g_production_feature_list
pm25_roll_var_7d,pm25_persistence,Historical PM2.5 persistence and short-term rolling trajectory,high,phase3g_production_feature_list
